"file"	"kind"	"detail"
"OEBPS/text/ch215.xhtml"	"metrics-band"	"max p 90; dashes/1k 27.53; includes furniture"
"OEBPS/text/ch216.xhtml"	"metrics-band"	"max p 84; dashes/1k 25.42; includes furniture"
"OEBPS/text/ch217.xhtml"	"metrics-band"	"max p 98; dashes/1k 30.0; includes furniture"
"OEBPS/text/ch218.xhtml"	"metrics-band"	"max p 118; dashes/1k 26.79; includes furniture"
"OEBPS/text/ch219.xhtml"	"metrics-band"	"max p 122; dashes/1k 18.97; includes furniture"
"OEBPS/text/ch220.xhtml"	"metrics-band"	"max p 99; dashes/1k 25.38; includes furniture"
"OEBPS/text/ch221.xhtml"	"metrics-band"	"max p 101; dashes/1k 31.48; includes furniture"
"OEBPS/text/ch222.xhtml"	"metrics-band"	"max p 101; dashes/1k 28.5; includes furniture"
"OEBPS/text/ch223.xhtml"	"metrics-band"	"max p 84; dashes/1k 19.65; includes furniture"
"OEBPS/text/ch224.xhtml"	"metrics-band"	"max p 160; dashes/1k 23.65; includes furniture"
"OEBPS/text/ch225.xhtml"	"metrics-band"	"max p 172; dashes/1k 29.35; includes furniture"
"OEBPS/text/ch226.xhtml"	"doubled-word"	"e — “You broke my focus! I MISSED! No no no he’s getting away— I have to bu"
"OEBPS/text/ch226.xhtml"	"metrics-band"	"max p 108; dashes/1k 21.3; includes furniture"
"OEBPS/text/ch227.xhtml"	"metrics-band"	"max p 101; dashes/1k 29.57; includes furniture"
"OEBPS/text/ch228.xhtml"	"metrics-band"	"max p 162; dashes/1k 28.26; includes furniture"
"OEBPS/text/ch229.xhtml"	"metrics-band"	"max p 167; dashes/1k 30.34; includes furniture"
"OEBPS/text/ch230.xhtml"	"metrics-band"	"max p 137; dashes/1k 27.82; includes furniture"
"OEBPS/text/ch231.xhtml"	"doubled-word"	"previous night. Her new curriculum had had… pronounced effects. Happiness was"
"OEBPS/text/ch231.xhtml"	"metrics-band"	"max p 152; dashes/1k 22.1; includes furniture"
"OEBPS/text/ch232.xhtml"	"doubled-word"	"“Then I’ll throw it away.” “Ya ya ya— wasting food is wrong. Give it"
"OEBPS/text/ch232.xhtml"	"metrics-band"	"max p 109; dashes/1k 28.6; includes furniture"
"OEBPS/text/ch233.xhtml"	"metrics-band"	"max p 130; dashes/1k 26.73; includes furniture"
"OEBPS/text/ch234.xhtml"	"doubled-word"	"iantly pleased with herself. “Tsk tsk tsk. Aigoo, aigoo.” Yuri — mi"
"OEBPS/text/ch234.xhtml"	"metrics-band"	"max p 88; dashes/1k 28.02; includes furniture"
"OEBPS/text/ch235.xhtml"	"doubled-word"	"picture time.” She clapped twice. “Ppalli ppalli!” The girls surged into forma"
"OEBPS/text/ch235.xhtml"	"doubled-word"	"ent straight for Yoon-a. “Ya! YA YA YA—!” She spun to flee; his s"
"OEBPS/text/ch235.xhtml"	"metrics-band"	"max p 108; dashes/1k 33.33; includes furniture"
"OEBPS/text/ch236.xhtml"	"metrics-band"	"max p 129; dashes/1k 29.03; includes furniture"
"OEBPS/text/ch237.xhtml"	"metrics-band"	"max p 176; dashes/1k 26.99; includes furniture"
"OEBPS/text/ch238.xhtml"	"metrics-band"	"max p 169; dashes/1k 29.17; includes furniture"
"OEBPS/text/ch239.xhtml"	"doubled-word"	"lately. The schedule—” “Oppa~ please please please~” She rocked him bodily sid"
"OEBPS/text/ch239.xhtml"	"metrics-band"	"max p 162; dashes/1k 29.34; includes furniture"
"OEBPS/text/ch240.xhtml"	"doubled-word"	"erstood. See you in a bit, eonni — bye bye~” She hung up, turned — and f"
"OEBPS/text/ch240.xhtml"	"metrics-band"	"max p 152; dashes/1k 28.57; includes furniture"
"OEBPS/text/ch241.xhtml"	"metrics-band"	"max p 184; dashes/1k 25.18; includes furniture"
"OEBPS/text/ch242.xhtml"	"metrics-band"	"max p 116; dashes/1k 26.6; includes furniture"
"OEBPS/text/ch244.xhtml"	"doubled-word"	"om a fire. LOEN · Studio A a title, a riddle, and the first bas"
"OEBPS/text/ch244.xhtml"	"metrics-band"	"max p 127; dashes/1k 2.66; includes furniture"
"OEBPS/text/ch245.xhtml"	"metrics-band"	"max p 73; dashes/1k 7.05; includes furniture"
"OEBPS/text/ch246.xhtml"	"metrics-band"	"max p 60; dashes/1k 5.86; includes furniture"
"OEBPS/text/ch248.xhtml"	"metrics-band"	"max p 51; dashes/1k 7.73; includes furniture"
"OEBPS/text/ch249.xhtml"	"metrics-band"	"max p 50; dashes/1k 8.16; includes furniture"
"OEBPS/text/ch250.xhtml"	"metrics-band"	"max p 61; dashes/1k 7.17; includes furniture"
"OEBPS/text/ch251.xhtml"	"metrics-band"	"max p 51; dashes/1k 6.61; includes furniture"
"OEBPS/text/ch252.xhtml"	"metrics-band"	"max p 87; dashes/1k 8.25; includes furniture"
"OEBPS/text/ch253.xhtml"	"metrics-band"	"max p 77; dashes/1k 5.52; includes furniture"
"OEBPS/text/ch255.xhtml"	"metrics-band"	"max p 49; dashes/1k 6.21; includes furniture"
"OEBPS/text/ch256.xhtml"	"metrics-band"	"max p 56; dashes/1k 5.12; includes furniture"
"OEBPS/text/ch259.xhtml"	"metrics-band"	"max p 44; dashes/1k 6.11; includes furniture"
"OEBPS/text/ch264.xhtml"	"doubled-word"	"think—” “Then how did she end up up there?” “How should I know?”"
"OEBPS/text/ch264.xhtml"	"metrics-band"	"max p 45; dashes/1k 19.95; includes furniture"
"OEBPS/text/ch265.xhtml"	"metrics-band"	"max p 96; dashes/1k 22.15; includes furniture"
"OEBPS/text/ch266.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
"OEBPS/text/ch266.xhtml"	"metrics-band"	"max p 67; dashes/1k 22.22; includes furniture"
"OEBPS/text/ch270.xhtml"	"metrics-band"	"max p 42; dashes/1k 6.24; includes furniture"
"OEBPS/text/ch272.xhtml"	"metrics-band"	"max p 63; dashes/1k 11.99; includes furniture"
"OEBPS/text/ch273.xhtml"	"metrics-band"	"max p 75; dashes/1k 11.99; includes furniture"
"OEBPS/text/ch274.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
"OEBPS/text/ch274.xhtml"	"doubled-word"	"toward the cargo bay. “Where? Where where where—” The laugh that came o"
"OEBPS/text/ch274.xhtml"	"doubled-word"	"ut the man, genuinely eager. “Hee hee. Never.” Park Ji-yeon found a"
"OEBPS/text/ch274.xhtml"	"metrics-band"	"max p 76; dashes/1k 8.98; includes furniture"
"OEBPS/text/ch275.xhtml"	"metrics-band"	"max p 99; dashes/1k 5.73; includes furniture"
"OEBPS/text/ch276.xhtml"	"metrics-band"	"max p 123; dashes/1k 6.72; includes furniture"
"OEBPS/text/ch277.xhtml"	"doubled-word"	"in the only ten spare minutes she had had — that a couple who were being pho"
"OEBPS/text/ch277.xhtml"	"metrics-band"	"max p 135; dashes/1k 11.81; includes furniture"
"OEBPS/text/ch278.xhtml"	"metrics-band"	"max p 173; dashes/1k 8.76; includes furniture"
"OEBPS/text/ch279.xhtml"	"doubled-word"	"a fortnight.” Cho Young-chul had had the deck mirrored on his own scree"
"OEBPS/text/ch279.xhtml"	"metrics-band"	"max p 165; dashes/1k 8.91; includes furniture"
"OEBPS/text/ch280.xhtml"	"metrics-band"	"max p 144; dashes/1k 4.43; includes furniture"
"OEBPS/text/ch281.xhtml"	"metrics-band"	"max p 201; dashes/1k 2.28; includes furniture"
"OEBPS/text/ch282.xhtml"	"doubled-word"	"ering that she has a volume. “Out out out,” said Song Ji-ho, with both h"
"OEBPS/text/ch282.xhtml"	"doubled-word"	"nder a tablecloth in a country she had had to be re-taught the rules of, with"
"OEBPS/text/ch282.xhtml"	"metrics-band"	"max p 207; dashes/1k 4.84; includes furniture"
"OEBPS/text/ch283.xhtml"	"doubled-word"	"n the stairs at exactly the moment that that meant the most. Tiffany came"
"OEBPS/text/ch283.xhtml"	"doubled-word"	"lbow, and he sat down in the space that that made, and the car rocked again, li"
"OEBPS/text/ch283.xhtml"	"metrics-band"	"max p 131; dashes/1k 2.23; includes furniture"
"OEBPS/text/ch284.xhtml"	"metrics-band"	"max p 135; dashes/1k 1.44; includes furniture"
"OEBPS/text/ch286.xhtml"	"doubled-word"	"as the only window it has. He had had it built to his own specification,"
"OEBPS/text/ch286.xhtml"	"doubled-word"	"n at last, for the same reason she had had hers turned over in his bed that m"
"OEBPS/text/ch286.xhtml"	"metrics-band"	"max p 140; dashes/1k 3.54; includes furniture"
"OEBPS/text/ch294.xhtml"	"doubled-word"	"xterous, what a national treasure, ha ha, and I laughed best of all, becaus"
"OEBPS/text/ch295.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
"OEBPS/text/ch298.xhtml"	"doubled-word"	"light in the building. “Yes! Yes yes —” She had his arm and was towing"
"OEBPS/text/ch298.xhtml"	"doubled-word"	"t to foot toward the dining room. “Quick quick quick, I’m DYING—” “Table’s f"
"OEBPS/text/ch299.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
"OEBPS/text/ch300.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
"OEBPS/text/ch300.xhtml"	"doubled-word"	"that what I’m reading???” “Wait wait wait. So when he put Park Ji-yeon"
"OEBPS/text/ch302.xhtml"	"whisper-policy"	"Nonalternation and/or missing final wh-close; compare actual context to SKILL.md"
